customer_key;customer;customer_type;phone;address_number;customer_address_1;customer_address_2;customer_address_3;customer_address_4;division;division_name;line_of_business;business_family;business_unit;regional_sales_mgr;search_type;zip_code
10021223;PacificServ Shop;G2;816-455-8733;10021223;Michigan Truck Plant;38303 Michigan Avenue;Não informado;Não informado;2;Domestic;Não informado;O2;1;S12;C;48184
10025571;Unitec Maxistore;G2;816-455-8733;10025571;PO Box 3283;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S9;C;50316-0283
10016784;IBEX Shop;G2;816-455-8733;10016784;PO Box 129;Não informado;Não informado;Não informado;2;Domestic;Não informado;R2;1;S5;C;50574
10009647;Dayton Supermarket;G2;816-455-8733;10009647;3248 Auburn Boulevard;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;95821
10002412;Acsior Shop;G1;816-455-8733;"";"";"";"";"";1;International;M1;R3;1;S19;C;""
10019617;Kool-Seal Shop;G2;816-455-8733;10019617;2445 FM 2920;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;77388
10026868;Xyratex Shop;G1;816-455-8733;10026868;Aut Reg Del Centro Valencia;A Pto Cabello Dist Naguanagua;Centro Comercial;IL Portico;1;International;M1;R3;1;S16;C;Não informado
10020672;Oki Shop;G1;816-455-8733;10020672;Brobekkveien 105;Não informado;Não informado;Não informado;1;International;M1;R3;1;S19;C;Não informado
10022746;Rdlabs Shop;G1;816-455-8733;10022746;Landstrasse 18;Não informado;Não informado;Não informado;1;International;M1;R3;1;S19;C;Não informado
10010897;Edify Shop;G2;816-455-8733;10010897;PO Box 588;Não informado;Não informado;Não informado;2;Domestic;Não informado;R2;1;S2;C;37188
10020448;Nanao Shop;G3;816-455-8733;10020448;1155 Mackay Street;Não informado;Não informado;Não informado;1;International;Não informado;R3;1;S5;C;S4N 4X9
10010882;EDA Supermarket;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S16;I;""
10002520;ActivCard Shop;G1;816-455-8733;"";"";"";"";"";1;International;M1;R3;1;S19;C;""
10000601;Radio Market;G2;816-455-8733;10000601;1550 Aereli Avenue;Não informado;Não informado;Não informado;2;Domestic;Não informado;R2;1;S5;C;27522
10021996;Pinnacle Supermarket;G2;816-455-8733;10021996;8 N Industrial Park Road;Não informado;Não informado;Não informado;2;Domestic;M1;R3;1;S16;C;17847
10012927;Galaxy Supermarket;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S1;C;""
10022434;R&R Store;G2;816-455-8733;10022434;PO Box 958;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S4;C;92670
